name,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_steal_percentage,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_win_shares,Center,Forward,Guard
Ed Davis,-0.1250279330062708,2.893875314084265,0.9556848073952372,0.777079755598567,2.7958844836846946,-1.0415373942016999,1.368537802437176,-1.4947038336912593,1.5223372555902341,-1.1715023824159074,1.8511541713794344,-0.2661922591103642,-0.7077728535802925,-0.46850794455908074,-2.181686568306302,-0.9288236368313743,1.0838790097494897,-1.7103514261235035,-1.2530731162931692,-1.4962844678038574,-1.3436343107935693,1.2650351003152014,0.353304903959232,-0.9205512261936004,-0.711915710066799,-0.9796542327415412,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Craig Brackins,-0.5876132109794175,-0.6312688947020635,-0.7397360422104564,-0.7490810166195282,-0.7624386117743658,-0.254427192311193,0.3903965832902783,0.8532967406021573,-0.9801969368633922,0.38828780551222025,-0.5659354057517382,0.10383067899587109,0.2841829417650326,0.16298543385816555,-0.3026364342838311,0.15027439218958558,1.0838790097494897,-0.5680071844230196,-0.8220405947181231,-0.46669542449385315,-0.24315379103284557,0.34261367300203344,-0.7273520886558373,-0.0508279818143708,1.3165166061031617,-0.43794958093302383,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Evan Turner,1.2864502228605104,0.10532840265627377,1.1757800089667674,1.1787010114454342,1.5838792371964556,1.688227774056867,0.014188422079933025,0.8532967406021573,0.5878466394208428,1.2548379099167357,-0.13209881498460457,0.5915881883177266,0.2252548747148152,0.605030798750238,-0.51141978250855,0.03037461118725671,0.15710949815587072,0.5743370572774644,1.009847621975822,-0.8460177036080653,-0.647928235082767,0.9086450033987501,1.6556351258286741,2.6374075008123388,1.681178595526975,1.24735378024903,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Al-Farouq Aminu,0.11219528646713779,0.6840834220092531,0.8043693563148102,1.5803222672923014,1.2808779255743958,-0.7233439083310694,0.6161214800164855,0.117885239974408,-0.5525486887858733,-0.09312891915695493,0.7768921370989136,0.8606957796677159,-0.3247404177538806,0.6260805780308129,-0.51141978250855,-0.08952516981507215,0.7749558392182834,0.8339607485730289,0.5788151004007762,-0.5425598803166954,-0.5087870199406065,1.2650351003152014,0.935197130751961,1.1746911352654528,0.6099840015945237,-0.25738136366351816,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Eric Bledsoe,2.828401149437666,0.7366975146777057,1.1001222834265538,2.905672411586963,0.939030291949508,0.38195977943006804,-0.5877446358566194,-0.43145829061499513,-0.3149663287428073,-0.5360323058525961,-0.1734165855338558,-0.4175652792447332,-0.629202097513336,-0.5737568409619551,0.741280306839764,0.5099737351965722,-1.696429525031367,0.3666381042410128,0.5788151004007762,0.7254603098650989,0.2754634654061162,-1.2716238247960094,2.5423280428461665,1.6886185069440884,-0.8030812074227522,-0.7388966097155335,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Willie Warren,-0.2792230256639864,-0.6312688947020635,-0.6400054039983567,-0.5482703886960947,-0.7002844965698407,0.03027224241516064,-1.0015736131879993,-1.0516848574094826,-0.6950981048117139,-1.2677857273497424,0.7286880714581209,-0.35028838140723584,0.6279299995579675,-0.17381103463103245,-2.59925326475574,-1.4084227608406896,-0.7696600134377481,-1.3988029965688262,-0.2832499427493157,0.6766903025504147,-0.11666177726724512,-1.1877673314039032,1.9050175087398435,0.42356651511975446,-1.2475130070330245,-1.822305913332568,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Trevor Booker,-0.18433373787462295,1.5785229973729484,0.4226417410891875,0.3754584997516998,1.1565696951653457,-0.05346288544553159,0.65374229613752,0.002700306141146058,0.6195242874265849,0.31126112956515223,0.3774870217894886,0.3897574948052347,-1.3756242801494232,-0.17381103463103245,-0.3026364342838311,0.15027439218958558,0.15710949815587072,-0.6199319226821325,0.47105697000701463,-0.9869088358504868,-0.9135614639905278,0.7618961399625641,-0.47796970574466746,-0.28802523028143345,0.8265020578149128,0.46489150541450514,-0.2631471752560035,1.136915308725313,-0.9980970487037716
Jordan Crawford,0.7882814619663524,-0.47342661669670555,0.9178559446251304,0.777079755598567,0.022257092682763272,0.28147762599723736,-0.7758487164617921,1.792496970319524,-0.3149663287428073,1.6977412966123768,-0.9997719965188723,0.10383067899587109,0.41186042037383697,0.20508499241931533,0.323713610390326,0.3900739541942433,-0.7696600134377481,-0.93148035223681,0.36329883961325304,0.4490969350818873,1.2115043672715593,-0.7684848644433726,-0.6165154740286507,0.6212308888423066,1.2139554215777142,0.7056491284405131,-0.2631471752560035,-0.8795729922232997,1.001906579424015
John Wall,6.208832026933739,1.2102243486937796,3.1222469478649875,4.070374053542878,1.6693411456026777,2.6260612060966197,-0.3243989230093777,0.6849495296150822,-0.33080515274567834,0.5808544953798903,0.76311954691583,1.4157301868270689,0.2252548747148152,1.3838726321315085,0.741280306839764,0.7497732972012299,-0.7696600134377481,-0.15260927835011634,0.9020894915820604,-0.08737314537964104,0.09837464613427561,-1.0410184679677177,2.043563277023827,3.1513348724909744,0.7923149963064303,0.9464067514665204,-0.2631471752560035,-0.8795729922232997,1.001906579424015
Greg Monroe,0.6459475302823071,1.7363652753783063,1.815431688534027,2.94583453717165,3.8758122353633175,0.7336473164449754,0.9170880089847617,0.21534941475639888,0.6828795834380692,0.5808544953798903,0.8526413831058727,1.0288880242614593,-0.697951509071923,0.605030798750238,0.11493026216560696,0.3900739541942433,1.3928021802806958,0.6262617955365773,0.14778257882573037,-1.1169621886896453,-1.002105873626448,1.2440709769671745,1.3231252819471147,1.6886185069440884,1.1797683600692317,0.46489150541450514,3.8001547956087567,-0.8795729922232997,-0.9980970487037716
