name,NCAAB_assists,NCAAB_blocks,NCAAB_field_goal_attempts,NCAAB_field_goal_percentage,NCAAB_field_goals,NCAAB_free_throw_attempt_rate,NCAAB_free_throw_attempts,NCAAB_free_throw_percentage,NCAAB_free_throws,NCAAB_games_played,NCAAB_games_started,NCAAB_height,NCAAB_personal_fouls,NCAAB_points,NCAAB_steal_percentage,NCAAB_steals,NCAAB_three_point_attempt_rate,NCAAB_three_point_attempts,NCAAB_total_rebound_percentage,NCAAB_total_rebounds,NCAAB_turnover_percentage,NCAAB_turnovers,NCAAB_two_point_attempts,NCAAB_two_point_percentage,NCAAB_win_shares,NBA_assists,NBA_blocks,NBA_points,NBA_steals,NBA_total_rebounds,Center,Forward,Guard
Melvin Frazier,86.0,22.0,322.0,0.556,179.0,0.366,118.0,0.7120000000000001,84.0,30.0,30.0,77,60.0,477.0,3.6,65.0,0.28300000000000003,91.0,9.3,168.0,16.9,77.0,231.0,0.623,3.9,1.0,0.0,15.0,1.0,5.0,0,0,1
Amile Jefferson,53.0,65.0,238.0,0.613,146.0,0.601,143.0,0.629,90.0,35.0,35.0,81,93.0,382.0,1.3,24.0,0.0,0.0,16.1,293.0,13.8,49.0,238.0,0.613,4.9,3.0,3.0,27.0,3.0,21.0,0,1,0
Zach Lofton,56.0,4.0,476.0,0.456,217.0,0.387,184.0,0.772,142.0,33.0,31.0,76,67.0,663.0,1.9,35.0,0.48100000000000004,229.0,8.6,166.0,11.2,71.0,247.0,0.526,6.0,0.0,0.0,0.0,1.0,0.0,0,0,1
Khyri Thomas,92.0,8.0,342.0,0.5379999999999999,184.0,0.249,85.0,0.7879999999999999,67.0,33.0,33.0,75,62.0,497.0,2.9,56.0,0.442,151.0,7.7,144.0,13.4,59.0,191.0,0.639,4.8,8.0,5.0,61.0,7.0,20.0,0,0,1
Yante Maten,51.0,49.0,446.0,0.46399999999999997,207.0,0.54,241.0,0.8009999999999999,193.0,33.0,33.0,80,72.0,636.0,0.8,15.0,0.191,85.0,13.8,283.0,10.7,67.0,361.0,0.493,6.0,0.0,0.0,2.0,1.0,3.0,0,1,0
Rawle Alkins,58.0,17.0,229.0,0.43200000000000005,99.0,0.428,98.0,0.7240000000000001,71.0,23.0,21.0,77,50.0,302.0,2.3,29.0,0.402,92.0,9.4,110.0,17.6,59.0,137.0,0.48200000000000004,2.3,13.0,0.0,37.0,1.0,26.0,0,0,1
Chandler Hutchison,107.0,8.0,432.0,0.475,205.0,0.519,224.0,0.728,163.0,31.0,31.0,79,74.0,619.0,2.7,46.0,0.29600000000000004,128.0,14.6,238.0,16.2,104.0,304.0,0.523,5.0,34.0,6.0,229.0,23.0,185.0,0,0,1
Brandon Sampson,22.0,2.0,147.0,0.47600000000000003,70.0,0.38799999999999996,57.0,0.7020000000000001,40.0,27.0,9.0,77,44.0,208.0,2.4,21.0,0.544,80.0,8.2,70.0,13.4,27.0,67.0,0.627,1.5,10.0,3.0,71.0,8.0,16.0,0,0,1
Billy Garrett,107.0,5.0,361.0,0.38799999999999996,140.0,0.493,178.0,0.882,157.0,32.0,32.0,78,81.0,478.0,2.3,37.0,0.313,113.0,5.8,92.0,19.1,105.0,248.0,0.39899999999999997,2.0,7.0,1.0,26.0,1.0,3.0,0,0,1
Kevin Knox,53.0,10.0,440.0,0.445,196.0,0.373,164.0,0.774,127.0,37.0,37.0,81,82.0,576.0,1.5,31.0,0.38,167.0,9.3,200.0,14.1,85.0,273.0,0.509,4.0,82.0,24.0,963.0,43.0,335.0,0,1,0
Allonzo Trier,107.0,11.0,368.0,0.5,184.0,0.503,185.0,0.865,160.0,33.0,33.0,76,57.0,598.0,1.1,21.0,0.5,184.0,5.5,100.0,13.3,70.0,184.0,0.62,5.5,119.0,14.0,695.0,28.0,197.0,0,0,1
Deng Adel,94.0,11.0,397.0,0.44799999999999995,178.0,0.33,131.0,0.7859999999999999,103.0,34.0,33.0,79,49.0,509.0,1.1,21.0,0.36,143.0,8.6,176.0,14.4,77.0,254.0,0.504,3.6,5.0,4.0,32.0,1.0,19.0,0,1,0
Jaron Blossomgame,51.0,30.0,441.0,0.499,220.0,0.381,168.0,0.7140000000000001,120.0,33.0,33.0,79,53.0,584.0,1.4,27.0,0.213,94.0,10.6,207.0,9.7,56.0,347.0,0.565,4.3,13.0,8.0,114.0,7.0,98.0,0,1,0
Collin Sexton,119.0,3.0,438.0,0.447,196.0,0.575,252.0,0.778,196.0,33.0,32.0,75,81.0,632.0,1.6,28.0,0.299,131.0,7.0,124.0,14.2,92.0,307.0,0.495,4.4,243.0,6.0,1371.0,44.0,236.0,0,0,1
Jevon Carter,246.0,13.0,509.0,0.42200000000000004,215.0,0.305,155.0,0.858,133.0,37.0,37.0,74,111.0,640.0,4.9,112.0,0.385,196.0,7.5,172.0,14.4,98.0,313.0,0.441,7.0,69.0,11.0,172.0,26.0,66.0,0,0,1
Dusty Hannahs,43.0,4.0,383.0,0.439,168.0,0.311,119.0,0.9079999999999999,108.0,36.0,23.0,75,63.0,518.0,1.0,16.0,0.499,191.0,3.8,62.0,12.0,60.0,192.0,0.49,2.9,5.0,0.0,8.0,1.0,1.0,0,0,1
Julian Washburn,86.0,19.0,306.0,0.415,127.0,0.209,64.0,0.7190000000000001,46.0,33.0,31.0,80,63.0,340.0,1.6,29.0,0.34299999999999997,105.0,7.2,136.0,11.1,42.0,201.0,0.433,3.3,14.0,2.0,40.0,13.0,41.0,0,1,0
